pair_id,experiment_id,magnitude_drift_all,magnitude_drift_source_support
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_044_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_MCI,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.35073020720778225,0.35073020720778225
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_045_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.5601844458021211,0.5601844458021211
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_046_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.7643227064407712,0.7643227064407712
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_047_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_DX_CN_AD,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.32589211997862194,0.32589211997862194
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_048_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_DX_CN_MCI,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.27258469531168106,0.27258469531168106
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_049_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.39290111509019293,0.39290111509019293
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_050_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.4450256080840542,0.4450256080840542
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_051_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.5399412583095163,0.5399412583095163
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_052_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_DX_CN_MCI,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.5567889710144953,0.5567889710144953
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_053_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.6095889180128354,0.6095889180128354
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_054_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.7051132895152504,0.7051132895152504
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_055_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.5065435774883357,0.5065435774883357
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_056_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_DX_CN_MCI,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.16222401181818244,0.16222401181818244
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_057_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.5340299880759919,0.5340299880759919
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_058_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,1.0304721299289115,1.0304721299289115
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_059_OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_OASIS1_BASELINE_FS8_THICKNESS_KONG200_17_CDR,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.23143289999100133,0.23143289999100133
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_060_OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_OASIS1_BASELINE_FS8_THICKNESS_KONG200_17_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.35248119042841797,0.35248119042841797
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_061_OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_OASIS1_BASELINE_FS8_THICKNESS_KONG200_17_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.4797205149846566,0.4797205149846566
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_062_OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_OASIS1_BASELINE_FS8_THICKNESS_YALE696_CDR,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,1.1817383571069187,1.1817383571069187
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_063_OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_OASIS1_BASELINE_FS8_THICKNESS_YALE696_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,1.03322828804037,1.03322828804037
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_064_OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_OASIS1_BASELINE_FS8_THICKNESS_YALE696_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,1.3005038803483981,1.3005038803483981
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_065_OASIS1_BASELINE_FS8_THICKNESS_KONG200_17_TO_OASIS1_BASELINE_FS8_THICKNESS_YALE696_CDR,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.896925227734322,0.896925227734322
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_066_OASIS1_BASELINE_FS8_THICKNESS_KONG200_17_TO_OASIS1_BASELINE_FS8_THICKNESS_YALE696_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.6762073208721905,0.6762073208721905
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_067_OASIS1_BASELINE_FS8_THICKNESS_KONG200_17_TO_OASIS1_BASELINE_FS8_THICKNESS_YALE696_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,1.2380145195972816,1.2380145195972816
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_068_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_AD,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.6816382808444656,0.6816382808444656
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_069_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_MCI,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.6807031169129862,0.6807031169129862
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_070_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_MMSE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.8200970412649278,0.8200970412649278
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_071_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_AGE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.8680689986877311,0.8680689986877311
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_076_AIBL_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_AD,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.5933052957575601,0.5933052957575601
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_077_AIBL_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_MCI,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.48198828088454465,0.48198828088454465
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_078_AIBL_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_MMSE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.6124187789223459,0.6124187789223459
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_079_AIBL_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_AGE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.3425485737337726,0.3425485737337726
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_084_OASIS1_BASELINE_FS8_CORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_CDR,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.872166969101851,0.872166969101851
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_085_OASIS1_BASELINE_FS8_CORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_MMSE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.7041635020060332,0.7041635020060332
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_086_OASIS1_BASELINE_FS8_CORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_AGE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,1.1485086383346617,1.1485086383346617
