pair_id,experiment_id,source_support_size,target_support_size,support_jaccard,support_overlap_count,support_overlap_fraction_source,support_overlap_fraction_target
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_070_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_MMSE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,,,1.0,,,
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_071_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_AGE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,,,1.0,,,
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_072_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_AD,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,,,,,,
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_073_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_MCI,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,,,,,,
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_074_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_MMSE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,,,,,,
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_075_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_AGE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,,,,,,
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_076_AIBL_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_AD,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,,,1.0,,,
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_077_AIBL_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_MCI,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,,,1.0,,,
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_078_AIBL_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_MMSE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,,,1.0,,,
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_079_AIBL_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_AGE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,,,1.0,,,
