pair_id,experiment_id,evidence_spearman,evidence_pearson,rank_overlap_topk,weighted_jaccard_abs,n_matched
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_029_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_MMSE,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,0.8995744252222306,0.846202387542725,0.05263157894736842,0.10781180914642617,62
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_030_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_AGE,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,0.5780010576414596,0.5531674042680188,0.02564102564102564,0.7620671152642745,62
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_031_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_DX_CN_AD,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,0.9257321272406439,0.9534980411334828,0.17647058823529413,0.39153370376350466,47
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_032_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_DX_CN_MCI,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,0.94828134525475,0.9560270286266636,0.14285714285714285,0.4300698874958919,47
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_033_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_MMSE,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,0.9060738346129618,0.954486580881823,0.17647058823529413,0.39238071602925206,47
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_034_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_AGE,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,0.9400711171573062,0.9108926225768825,0.17647058823529413,0.577902818335018,47
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_035_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_DX_CN_AD,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.942857142857143,0.9407111570587345,1.0,,6
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_036_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_DX_CN_MCI,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,1.0,0.948629811598833,1.0,,6
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_037_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.8857142857142858,0.9333235702141125,1.0,,6
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_038_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.7714285714285715,0.9521894021546663,1.0,,6
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_039_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.39999999999999997,0.7148271385662402,1.0,,5
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_040_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_MCI,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.3,0.867667273718152,1.0,,5
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_041_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.39999999999999997,0.700238384222769,1.0,,5
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_042_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.6,0.8264896173902163,1.0,,5
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_043_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.6571428571428573,0.7558533980833608,1.0,,6
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_044_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_MCI,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.6,0.8786315713546348,1.0,,6
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_045_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.3714285714285715,0.6910286847831748,1.0,,6
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_046_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.3714285714285715,0.46488535609671855,1.0,,6
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_047_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_DX_CN_AD,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.942857142857143,0.9221678783846379,1.0,,6
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_048_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_DX_CN_MCI,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,1.0,0.9503474176002157,1.0,,6
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_049_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,1.0,0.9110231215776982,1.0,,6
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_050_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.48571428571428577,0.8667909478633274,1.0,,6
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_051_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.8999999999999998,0.7517717546149989,1.0,,5
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_052_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_DX_CN_MCI,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.7999999999999999,0.7996951437703379,1.0,,5
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_053_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.7,0.693733545775581,1.0,,5
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_054_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.7,0.5653955883826165,1.0,,5
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_055_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.8285714285714287,0.755493948661506,1.0,,6
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_056_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_DX_CN_MCI,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.942857142857143,0.9801885998145738,1.0,,6
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_057_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.942857142857143,0.7313200156929199,1.0,,6
