pair_id,experiment_id,group_evidence_spearman,group_evidence_pearson,group_support_jaccard,group_direction_retention,n_matched_groups
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_067_OASIS1_BASELINE_FS8_THICKNESS_KONG200_17_TO_OASIS1_BASELINE_FS8_THICKNESS_YALE696_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.3714285714285715,-0.11450660480019624,1.0,1.0,6
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_068_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_AD,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.3,0.6790837377798502,1.0,0.0,5
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_069_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_MCI,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.3,0.6038257949666519,1.0,0.0,5
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_070_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_MMSE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.3,0.5482579792047401,1.0,0.0,5
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_071_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_AGE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.3,0.5632116304845451,1.0,0.0,5
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_076_AIBL_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_AD,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.7,0.7135618350899432,1.0,1.0,5
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_077_AIBL_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_MCI,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.7999999999999999,0.8587358148486532,1.0,1.0,5
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_078_AIBL_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_MMSE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.7,0.6814164957481499,1.0,1.0,5
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_079_AIBL_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_AGE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.8999999999999998,0.897630064914123,1.0,0.4,5
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_084_OASIS1_BASELINE_FS8_CORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_CDR,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.49999999999999994,0.4649102607569128,1.0,1.0,5
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_085_OASIS1_BASELINE_FS8_CORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_MMSE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.7,0.5862884542447677,1.0,1.0,5
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY_086_OASIS1_BASELINE_FS8_CORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_AGE,E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,0.09999999999999999,0.12349783546004345,1.0,1.0,5
