pair_id,experiment_id,direction_retention_all,direction_retention_source_support,sign_flip_fraction_all,sign_flip_fraction_source_support
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_031_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_DX_CN_AD,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,0.3191489361702128,0.5625,0.6808510638297872,0.4375
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_032_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_DX_CN_MCI,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,0.2765957446808511,0.5294117647058824,0.7234042553191489,0.47058823529411764
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_033_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_MMSE,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,0.2553191489361702,0.5625,0.7446808510638299,0.4375
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_034_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_AGE,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,0.19148936170212766,0.35294117647058826,0.8085106382978724,0.6470588235294117
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_035_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_DX_CN_AD,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,1.0,,
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_036_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_DX_CN_MCI,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,1.0,,
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_037_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,1.0,,
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_038_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,1.0,,
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_039_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,1.0,,
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_040_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_MCI,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,1.0,,
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_041_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,1.0,,
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_042_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,1.0,,
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_043_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,1.0,,
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_044_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_MCI,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,1.0,,
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_045_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,1.0,,
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_046_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,1.0,,
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_047_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_DX_CN_AD,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,1.0,,
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_048_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_DX_CN_MCI,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,1.0,,
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_049_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,1.0,,
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_050_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,0.6666666666666666,,
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_051_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,1.0,,
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_052_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_DX_CN_MCI,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,1.0,,
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_053_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,1.0,,
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_054_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,0.6,,
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_055_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,1.0,,
