pair_id,experiment_id,experiment_type,source_dataset,source_feature_space,source_setting_id,source_claim_type,source_target,source_filter,target_dataset,target_feature_space,target_setting_id,target_claim_type,target_target,target_filter,roi_match_strategy,transfer_target,transfer_target_type,positive_label,negative_label,use_claim_level,use_weight_metric,top_k,standardize_target_features,notes
E3_FS8_VS_SPM_THICKNESS_DRIFT_024_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_MCI,E3_FS8_VS_SPM_THICKNESS_DRIFT,pipeline_drift,ADNI_SPM_MATCHED,spm_thickness_schaefer200_7,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI,diagnosis_contrast,diagnosis_binary_mci_cn,,ADNI_SPM_MATCHED,spm_thickness_schaefer200_17,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_MCI,diagnosis_contrast,diagnosis_binary_mci_cn,,network_7_like,diagnosis_binary_mci_cn,binary,MCI,CN,composite,coefficient,20,True,[]
E3_FS8_VS_SPM_THICKNESS_DRIFT_025_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_MMSE,E3_FS8_VS_SPM_THICKNESS_DRIFT,pipeline_drift,ADNI_SPM_MATCHED,spm_thickness_schaefer200_7,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_MMSE,mmse_association,mmse,,ADNI_SPM_MATCHED,spm_thickness_schaefer200_17,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_MMSE,mmse_association,mmse,,network_7_like,mmse,continuous,,,composite,coefficient,20,True,[]
E3_FS8_VS_SPM_THICKNESS_DRIFT_026_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_AGE,E3_FS8_VS_SPM_THICKNESS_DRIFT,pipeline_drift,ADNI_SPM_MATCHED,spm_thickness_schaefer200_7,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_AGE,age_association,age,,ADNI_SPM_MATCHED,spm_thickness_schaefer200_17,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_AGE,age_association,age,,network_7_like,age,continuous,,,composite,coefficient,20,True,[]
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_027_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_DX_CN_AD,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,fastsurfer_drift,ADNI_baseline,fs8_cortical_volume,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD,diagnosis_contrast,diagnosis_binary_ad_cn,,ADNI_baseline,fastsurfer_cortical_volume,ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_DX_CN_AD,diagnosis_contrast,diagnosis_binary_ad_cn,,exact_roi,diagnosis_binary_ad_cn,binary,AD,CN,composite,coefficient,20,True,[]
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_028_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_DX_CN_MCI,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,fastsurfer_drift,ADNI_baseline,fs8_cortical_volume,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_MCI,diagnosis_contrast,diagnosis_binary_mci_cn,,ADNI_baseline,fastsurfer_cortical_volume,ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_DX_CN_MCI,diagnosis_contrast,diagnosis_binary_mci_cn,,exact_roi,diagnosis_binary_mci_cn,binary,MCI,CN,composite,coefficient,20,True,[]
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_029_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_MMSE,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,fastsurfer_drift,ADNI_baseline,fs8_cortical_volume,ADNI_BASELINE_FS8_CORTICAL_VOLUME_MMSE,mmse_association,mmse,,ADNI_baseline,fastsurfer_cortical_volume,ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_MMSE,mmse_association,mmse,,exact_roi,mmse,continuous,,,composite,coefficient,20,True,[]
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_030_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_AGE,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,fastsurfer_drift,ADNI_baseline,fs8_cortical_volume,ADNI_BASELINE_FS8_CORTICAL_VOLUME_AGE,age_association,age,,ADNI_baseline,fastsurfer_cortical_volume,ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_AGE,age_association,age,,exact_roi,age,continuous,,,composite,coefficient,20,True,[]
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_031_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_DX_CN_AD,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,fastsurfer_drift,ADNI_baseline,fs8_subcortical_volume,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD,diagnosis_contrast,diagnosis_binary_ad_cn,,ADNI_baseline,fastsurfer_subcortical_volume,ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_DX_CN_AD,diagnosis_contrast,diagnosis_binary_ad_cn,,exact_roi,diagnosis_binary_ad_cn,binary,AD,CN,composite,coefficient,20,True,[]
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_032_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_DX_CN_MCI,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,fastsurfer_drift,ADNI_baseline,fs8_subcortical_volume,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI,diagnosis_contrast,diagnosis_binary_mci_cn,,ADNI_baseline,fastsurfer_subcortical_volume,ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_DX_CN_MCI,diagnosis_contrast,diagnosis_binary_mci_cn,,exact_roi,diagnosis_binary_mci_cn,binary,MCI,CN,composite,coefficient,20,True,[]
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_033_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_MMSE,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,fastsurfer_drift,ADNI_baseline,fs8_subcortical_volume,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE,mmse_association,mmse,,ADNI_baseline,fastsurfer_subcortical_volume,ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_MMSE,mmse_association,mmse,,exact_roi,mmse,continuous,,,composite,coefficient,20,True,[]
