pair_id,experiment_id,n,n_positive,n_negative,auc_raw,auc_oriented,cohens_d,point_biserial_corr,spearman_corr,pearson_corr,slope_simple,error
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_038_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_039_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_040_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_MCI,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_041_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_042_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_043_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_044_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_MCI,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_045_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_046_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_047_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_DX_CN_AD,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_048_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_DX_CN_MCI,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_049_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_050_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_051_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_052_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_DX_CN_MCI,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_053_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_054_AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_055_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_056_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_DX_CN_MCI,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_057_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_058_AIBL_BASELINE_FS8_THICKNESS_KONG200_17_TO_AIBL_BASELINE_FS8_THICKNESS_YALE696_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_059_OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_OASIS1_BASELINE_FS8_THICKNESS_KONG200_17_CDR,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_060_OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_OASIS1_BASELINE_FS8_THICKNESS_KONG200_17_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_061_OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_OASIS1_BASELINE_FS8_THICKNESS_KONG200_17_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_062_OASIS1_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_OASIS1_BASELINE_FS8_THICKNESS_YALE696_CDR,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
