roi,coef,t,mean_z,n,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like,target_group
RH_Cont_PFCl_3,0.2066179006908667,0.2066179006908667,0.2066179006908667,375,RH,Cont,prefrontal,Cont,frontal,fs8_thickness_schaefer200_7,Cont,AD
LH_Cont_Cing_2,0.21405509861535177,0.21405509861535177,0.21405509861535177,375,LH,Cont,unknown_subregion,Cont,unknown,fs8_thickness_schaefer200_7,Cont,AD
RH_Cont_PFCl_4,0.19605923795001104,0.19605923795001104,0.19605923795001104,375,RH,Cont,prefrontal,Cont,frontal,fs8_thickness_schaefer200_7,Cont,AD
LH_Default_Temp_1,0.12609688626405696,0.12609688626405696,0.12609688626405696,375,LH,Default,temporal,Default,temporal,fs8_thickness_schaefer200_7,Default,AD
RH_Cont_PFCl_5,0.1880534342031101,0.1880534342031101,0.1880534342031101,375,RH,Cont,prefrontal,Cont,frontal,fs8_thickness_schaefer200_7,Cont,AD
LH_Default_Temp_2,0.13191776988471657,0.13191776988471657,0.13191776988471657,375,LH,Default,temporal,Default,temporal,fs8_thickness_schaefer200_7,Default,AD
RH_Cont_PFCl_6,0.17797725168262613,0.17797725168262613,0.17797725168262613,375,RH,Cont,prefrontal,Cont,frontal,fs8_thickness_schaefer200_7,Cont,AD
LH_Default_Temp_3,0.12955408623077944,0.12955408623077944,0.12955408623077944,375,LH,Default,temporal,Default,temporal,fs8_thickness_schaefer200_7,Default,AD
RH_Cont_PFCl_7,0.17271586713257328,0.17271586713257328,0.17271586713257328,375,RH,Cont,prefrontal,Cont,frontal,fs8_thickness_schaefer200_7,Cont,AD
LH_Default_Temp_4,0.1335056208083951,0.1335056208083951,0.1335056208083951,375,LH,Default,temporal,Default,temporal,fs8_thickness_schaefer200_7,Default,AD
RH_Cont_pCun_1,0.18052658329250418,0.18052658329250418,0.18052658329250418,375,RH,Cont,precuneus,Cont,parietal,fs8_thickness_schaefer200_7,Cont,AD
LH_Default_Temp_5,0.15418258219927494,0.15418258219927494,0.15418258219927494,375,LH,Default,temporal,Default,temporal,fs8_thickness_schaefer200_7,Default,AD
RH_Cont_Cing_1,0.1976572300978965,0.1976572300978965,0.1976572300978965,375,RH,Cont,unknown_subregion,Cont,unknown,fs8_thickness_schaefer200_7,Cont,AD
LH_Default_Par_1,0.1615541737381887,0.1615541737381887,0.1615541737381887,375,LH,Default,unknown_subregion,Default,unknown,fs8_thickness_schaefer200_7,Default,AD
RH_Cont_Cing_2,0.22395787752474078,0.22395787752474078,0.22395787752474078,375,RH,Cont,unknown_subregion,Cont,unknown,fs8_thickness_schaefer200_7,Cont,AD
LH_Default_Par_2,0.15657438135816265,0.15657438135816265,0.15657438135816265,375,LH,Default,unknown_subregion,Default,unknown,fs8_thickness_schaefer200_7,Default,AD
RH_Cont_PFCmp_1,0.21182811293622297,0.21182811293622297,0.21182811293622297,375,RH,Cont,prefrontal,Cont,frontal,fs8_thickness_schaefer200_7,Cont,AD
LH_Default_Par_3,0.13619429720120446,0.13619429720120446,0.13619429720120446,375,LH,Default,unknown_subregion,Default,unknown,fs8_thickness_schaefer200_7,Default,AD
RH_Cont_PFCmp_2,0.19129232940852292,0.19129232940852292,0.19129232940852292,375,RH,Cont,prefrontal,Cont,frontal,fs8_thickness_schaefer200_7,Cont,AD
LH_Default_Par_4,0.14190273698588488,0.14190273698588488,0.14190273698588488,375,LH,Default,unknown_subregion,Default,unknown,fs8_thickness_schaefer200_7,Default,AD
RH_Default_Par_1,0.15874160749372848,0.15874160749372848,0.15874160749372848,375,RH,Default,unknown_subregion,Default,unknown,fs8_thickness_schaefer200_7,Default,AD
LH_Default_PFC_1,0.19999807645227316,0.19999807645227316,0.19999807645227316,375,LH,Default,unknown_subregion,Default,unknown,fs8_thickness_schaefer200_7,Default,AD
RH_Default_Par_2,0.1424290363190403,0.1424290363190403,0.1424290363190403,375,RH,Default,unknown_subregion,Default,unknown,fs8_thickness_schaefer200_7,Default,AD
LH_Default_PFC_2,0.18324352461714116,0.18324352461714116,0.18324352461714116,375,LH,Default,unknown_subregion,Default,unknown,fs8_thickness_schaefer200_7,Default,AD
RH_Default_Par_3,0.14849485142556648,0.14849485142556648,0.14849485142556648,375,RH,Default,unknown_subregion,Default,unknown,fs8_thickness_schaefer200_7,Default,AD
LH_Default_PFC_3,0.20264526674575373,0.20264526674575373,0.20264526674575373,375,LH,Default,unknown_subregion,Default,unknown,fs8_thickness_schaefer200_7,Default,AD
RH_Default_Temp_1,0.12579661151526347,0.12579661151526347,0.12579661151526347,375,RH,Default,temporal,Default,temporal,fs8_thickness_schaefer200_7,Default,AD
LH_Default_PFC_4,0.18841944368245417,0.18841944368245417,0.18841944368245417,375,LH,Default,unknown_subregion,Default,unknown,fs8_thickness_schaefer200_7,Default,AD
