roi,coef,t,mean_z,n,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like,target_group
BrainSegVol-to-eTIV,-0.008568487009973733,-0.008568487009973733,-0.008568487009973733,602,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
MaskVol-to-eTIV,-0.017353281617381984,-0.017353281617381984,-0.017353281617381984,602,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
lhSurfaceHoles,0.04076474215742477,0.04076474215742477,0.04076474215742477,602,,surface_qc,surface_qc,,,fs8_subcortical_volume,,MCI
rhSurfaceHoles,0.025334572527545587,0.025334572527545587,0.025334572527545587,602,,surface_qc,surface_qc,,,fs8_subcortical_volume,,MCI
SurfaceHoles,0.03603878020195261,0.03603878020195261,0.03603878020195261,602,,surface_qc,surface_qc,,,fs8_subcortical_volume,,MCI
EstimatedTotalIntraCranialVol,-0.024553081579931805,-0.024553081579931805,-0.024553081579931805,602,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
SegmentedTotalIntracranialVol,-0.031195599595844954,-0.031195599595844954,-0.031195599595844954,602,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
Left-Lateral-Ventricle,0.7583874930647952,0.7583874930647952,0.7583874930647952,265,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,AD
Left-Inf-Lat-Vent,1.612830699154996,1.612830699154996,1.612830699154996,265,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,AD
Left-Cerebellum-White-Matter,-0.08903859755200558,-0.08903859755200558,-0.08903859755200558,265,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,,AD
Left-Cerebellum-Cortex,-0.14137035308608195,-0.14137035308608195,-0.14137035308608195,265,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,,AD
Left-Thalamus,-0.2157890394374864,-0.2157890394374864,-0.2157890394374864,265,LH,thalamus,thalamus,,,fs8_subcortical_volume,,AD
