claim_id,claim_family_id,claim_level,claim_type,dataset,cohort,feature_space,feature_family,pipeline,atlas,target,covariates,n_samples,n_features,roi,hemisphere,roi_group,anatomical_group,network,network_7_like,lobe,direction,evidence_metric,evidence_value,coefficient,t_value,p_value,q_value,claim_text,short_claim_text,criteria_passed,status
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_AD_60b272e3d3_ranking_top,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_AD_60b272e3d3,ranking,feature_ranking,ADNI_SPM_MATCHED,pooled,spm_thickness_schaefer200_17,thickness,spm_cat12,schaefer200_17network,diagnosis_binary_ad_cn,age; sex; education,1554,202,,,,,,,,,abs_t_rank,,,,,,"The top-ranked regions for the AD-versus-CN contrast are RH_LimbicA_TempPole_3, LH_Background+FreeSurfer_Defined_Medial_Wall, RH_Background+FreeSurfer_Defined_Medial_Wall, LH_DefaultB_Temp_1, LH_LimbicA_TempPole_1, LH_LimbicA_TempPole_2, LH_DefaultB_Temp_3, LH_LimbicA_TempPole_3, RH_TempPar_1, LH_DefaultB_Temp_4.","The top-ranked regions for the AD-versus-CN contrast are RH_LimbicA_TempPole_3, LH_Background+FreeSurfer_Defined_Medial_Wall, RH_Background+FreeSurfer_Defined_Medial_Wall, LH_DefaultB_Temp_1, LH_LimbicA_TempPole_1, LH_LimbicA_TempPole_2, LH_DefaultB_Temp_3, LH_LimbicA_TempPole_3, RH_TempPar_1, LH_DefaultB_Temp_4.",True,supported
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_AD_60b272e3d3_direction_summary_support,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_AD_60b272e3d3,direction_summary,direction_summary,ADNI_SPM_MATCHED,pooled,spm_thickness_schaefer200_17,thickness,spm_cat12,schaefer200_17network,diagnosis_binary_ad_cn,age; sex; education,1554,202,,,,,,,,lower,fraction_same_sign,1.0,,,,,"Across the support set, 100.0% of regions show lower Schaefer 200 17-network cortical thickness for AD versus CN.","Across the support set, 100.0% of regions show lower Schaefer 200 17-network cortical thickness for AD versus CN.",True,supported
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7_composite_main,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7,composite,diagnosis_contrast,ADNI_SPM_MATCHED,pooled,spm_thickness_schaefer200_7,thickness,spm_cat12,schaefer200_7network,diagnosis_binary_mci_cn,age; sex; education,2203,202,,,,,,,,lower,mean_abs_t,8.755855820535464,,,,,"MCI is associated with lower Schaefer 200 7-network cortical thickness in Limbic, Default, and Cont network parcels compared with CN, after adjustment for age, sex, education.","MCI is associated with lower Schaefer 200 7-network cortical thickness in Limbic, Default, and Cont network parcels compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7_atomic_roi_LH_Limbic_TempPole_1,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7,atomic_roi,diagnosis_contrast,ADNI_SPM_MATCHED,pooled,spm_thickness_schaefer200_7,thickness,spm_cat12,schaefer200_7network,diagnosis_binary_mci_cn,age; sex; education,2203,202,LH_Limbic_TempPole_1,LH,Limbic,temporal_pole,Limbic,,temporal,lower,t,-11.655005531022965,-0.49743610802352983,-11.655005531022965,1.673973752699323e-30,3.3814269804526326e-28,"MCI is associated with lower LH_Limbic_TempPole_1 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.","MCI is associated with lower LH_Limbic_TempPole_1 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7_atomic_roi_RH_Limbic_TempPole_3,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7,atomic_roi,diagnosis_contrast,ADNI_SPM_MATCHED,pooled,spm_thickness_schaefer200_7,thickness,spm_cat12,schaefer200_7network,diagnosis_binary_mci_cn,age; sex; education,2203,202,RH_Limbic_TempPole_3,RH,Limbic,temporal_pole,Limbic,,temporal,lower,t,-10.647756445702331,-0.4583306937699809,-10.647756445702331,7.528574768832276e-26,7.603860516520599e-24,"MCI is associated with lower RH_Limbic_TempPole_3 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.","MCI is associated with lower RH_Limbic_TempPole_3 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7_atomic_roi_LH_Limbic_TempPole_2,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7,atomic_roi,diagnosis_contrast,ADNI_SPM_MATCHED,pooled,spm_thickness_schaefer200_7,thickness,spm_cat12,schaefer200_7network,diagnosis_binary_mci_cn,age; sex; education,2203,202,LH_Limbic_TempPole_2,LH,Limbic,temporal_pole,Limbic,,temporal,lower,t,-10.348413112504161,-0.4427412690691106,-10.348413112504161,1.5413418825617632e-24,9.86976941256536e-23,"MCI is associated with lower LH_Limbic_TempPole_2 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.","MCI is associated with lower LH_Limbic_TempPole_2 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7_atomic_roi_LH_Default_Temp_1,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7,atomic_roi,diagnosis_contrast,ADNI_SPM_MATCHED,pooled,spm_thickness_schaefer200_7,thickness,spm_cat12,schaefer200_7network,diagnosis_binary_mci_cn,age; sex; education,2203,202,LH_Default_Temp_1,LH,Default,temporal,Default,,temporal,lower,t,-10.324545162150995,-0.42967139262604026,-10.324545162150995,1.954409784666408e-24,9.86976941256536e-23,"MCI is associated with lower LH_Default_Temp_1 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.","MCI is associated with lower LH_Default_Temp_1 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7_atomic_roi_LH_Limbic_TempPole_3,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7,atomic_roi,diagnosis_contrast,ADNI_SPM_MATCHED,pooled,spm_thickness_schaefer200_7,thickness,spm_cat12,schaefer200_7network,diagnosis_binary_mci_cn,age; sex; education,2203,202,LH_Limbic_TempPole_3,LH,Limbic,temporal_pole,Limbic,,temporal,lower,t,-10.181127527938054,-0.42934706816988527,-10.181127527938054,8.056698477933607e-24,3.254906185085177e-22,"MCI is associated with lower LH_Limbic_TempPole_3 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.","MCI is associated with lower LH_Limbic_TempPole_3 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7_atomic_roi_LH_BackgroundFreeSurfer_Defined_Medial_Wall,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7,atomic_roi,diagnosis_contrast,ADNI_SPM_MATCHED,pooled,spm_thickness_schaefer200_7,thickness,spm_cat12,schaefer200_7network,diagnosis_binary_mci_cn,age; sex; education,2203,202,LH_Background+FreeSurfer_Defined_Medial_Wall,LH,,unknown_subregion,,,unknown,lower,t,-9.970415239777408,-0.38271756994091877,-9.970415239777408,6.251765791492491e-23,2.104761149802472e-21,"MCI is associated with lower LH_Background+FreeSurfer_Defined_Medial_Wall Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.","MCI is associated with lower LH_Background+FreeSurfer_Defined_Medial_Wall Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7_atomic_roi_RH_Limbic_TempPole_1,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7,atomic_roi,diagnosis_contrast,ADNI_SPM_MATCHED,pooled,spm_thickness_schaefer200_7,thickness,spm_cat12,schaefer200_7network,diagnosis_binary_mci_cn,age; sex; education,2203,202,RH_Limbic_TempPole_1,RH,Limbic,temporal_pole,Limbic,,temporal,lower,t,-9.49149488545799,-0.4040446009312376,-9.49149488545799,5.706842729744513e-21,1.6468317591548451e-19,"MCI is associated with lower RH_Limbic_TempPole_1 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.","MCI is associated with lower RH_Limbic_TempPole_1 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
