claim_family_id,setting_id,dataset,feature_space,claim_type,target,n_composite,n_atomic,n_group,n_ranking,n_direction,n_latent,n_normative,n_total_claims,n_samples,n_features,n_warnings
OASIS1_BASELINE_FS8_CORTICAL_VOLUME_LATENT_1d5738ae3a,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_LATENT,OASIS1_baseline,fs8_cortical_volume,latent_morphometry_axis,,0,0,0,0,0,5,0,5,235,68,0
OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_LATENT_62bf6939e5,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_LATENT,OASIS1_baseline,fs8_subcortical_volume,latent_morphometry_axis,,0,0,0,0,0,5,0,5,235,64,0
OASIS1_BASELINE_FS8_CORTICAL_VOLUME_NORMATIVE_CDR_d330fec339,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_NORMATIVE_CDR,OASIS1_baseline,fs8_cortical_volume,normative_deviation,,0,0,0,0,0,0,0,0,235,68,0
OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_NORMATIVE_CDR_ebd3b3ab2c,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_NORMATIVE_CDR,OASIS1_baseline,fs8_subcortical_volume,normative_deviation,,0,0,0,0,0,0,2,2,235,64,0
ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_AD_e1d8264752,ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_AD,ADNI_baseline,fs8_thickness_schaefer200_7,diagnosis_contrast,diagnosis_binary_ad_cn,1,30,2,1,1,0,0,35,1131,202,0
ADNI_BASELINE_FS8_THICKNESS_KONG200_17_DX_CN_AD_cbe408d1d3,ADNI_BASELINE_FS8_THICKNESS_KONG200_17_DX_CN_AD,ADNI_baseline,fs8_thickness_kong200_17,diagnosis_contrast,diagnosis_binary_ad_cn,1,30,4,1,1,0,0,37,1131,202,0
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD,ADNI_baseline,fs8_thickness_yale696,diagnosis_contrast,diagnosis_binary_ad_cn,1,40,4,1,1,0,0,47,1131,150,0
ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_MCI_9e5880787c,ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_MCI,ADNI_baseline,fs8_thickness_schaefer200_7,diagnosis_contrast,diagnosis_binary_mci_cn,1,30,2,1,1,0,0,35,1587,202,0
ADNI_BASELINE_FS8_THICKNESS_KONG200_17_DX_CN_MCI_108f32dbb5,ADNI_BASELINE_FS8_THICKNESS_KONG200_17_DX_CN_MCI,ADNI_baseline,fs8_thickness_kong200_17,diagnosis_contrast,diagnosis_binary_mci_cn,1,30,3,1,1,0,0,36,1587,202,0
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_MCI_7ddc3fd73b,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_MCI,ADNI_baseline,fs8_thickness_yale696,diagnosis_contrast,diagnosis_binary_mci_cn,1,40,5,1,1,0,0,48,1587,150,0
ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_MMSE_9ee81e7459,ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_MMSE,ADNI_baseline,fs8_thickness_schaefer200_7,mmse_association,mmse,1,0,2,1,1,0,0,5,1998,202,0
ADNI_BASELINE_FS8_THICKNESS_KONG200_17_MMSE_a8e061ea3f,ADNI_BASELINE_FS8_THICKNESS_KONG200_17_MMSE,ADNI_baseline,fs8_thickness_kong200_17,mmse_association,mmse,1,0,3,1,1,0,0,6,1998,202,0
ADNI_BASELINE_FS8_THICKNESS_YALE696_MMSE_a7ad6c44f8,ADNI_BASELINE_FS8_THICKNESS_YALE696_MMSE,ADNI_baseline,fs8_thickness_yale696,mmse_association,mmse,1,0,4,1,1,0,0,7,1998,150,0
ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_AGE_46f01c8f5f,ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_AGE,ADNI_baseline,fs8_thickness_schaefer200_7,age_association,age,1,30,4,1,1,0,0,37,2173,202,0
ADNI_BASELINE_FS8_THICKNESS_KONG200_17_AGE_1ab17492c3,ADNI_BASELINE_FS8_THICKNESS_KONG200_17_AGE,ADNI_baseline,fs8_thickness_kong200_17,age_association,age,1,30,4,1,1,0,0,37,2173,202,0
ADNI_BASELINE_FS8_THICKNESS_YALE696_AGE_de9bbc2be5,ADNI_BASELINE_FS8_THICKNESS_YALE696_AGE,ADNI_baseline,fs8_thickness_yale696,age_association,age,1,40,5,1,1,0,0,48,2173,150,0
ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_LATENT_a8c76cfef2,ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_LATENT,ADNI_baseline,fs8_thickness_schaefer200_7,latent_morphometry_axis,,0,0,0,0,0,6,0,6,2173,202,0
ADNI_BASELINE_FS8_THICKNESS_KONG200_17_LATENT_30545abbf2,ADNI_BASELINE_FS8_THICKNESS_KONG200_17_LATENT,ADNI_baseline,fs8_thickness_kong200_17,latent_morphometry_axis,,0,0,0,0,0,7,0,7,2173,202,0
ADNI_BASELINE_FS8_THICKNESS_YALE696_LATENT_16970fe17c,ADNI_BASELINE_FS8_THICKNESS_YALE696_LATENT,ADNI_baseline,fs8_thickness_yale696,latent_morphometry_axis,,0,0,0,0,0,5,0,5,2173,150,0
ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_NORMATIVE_DX_8c928863f5,ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_NORMATIVE_DX,ADNI_baseline,fs8_thickness_schaefer200_7,normative_deviation,,0,0,0,0,0,0,0,0,2173,202,0
ADNI_BASELINE_FS8_THICKNESS_KONG200_17_NORMATIVE_DX_59de6cab66,ADNI_BASELINE_FS8_THICKNESS_KONG200_17_NORMATIVE_DX,ADNI_baseline,fs8_thickness_kong200_17,normative_deviation,,0,0,0,0,0,0,0,0,2173,202,0
ADNI_BASELINE_FS8_THICKNESS_YALE696_NORMATIVE_DX_c3d032e4c9,ADNI_BASELINE_FS8_THICKNESS_YALE696_NORMATIVE_DX,ADNI_baseline,fs8_thickness_yale696,normative_deviation,,0,0,0,0,0,0,0,0,2173,150,0
AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_AD_2d3698bfc6,AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_AD,AIBL_baseline,fs8_thickness_schaefer200_7,diagnosis_contrast,diagnosis_binary_ad_cn,1,30,4,1,1,0,0,37,1104,202,0
AIBL_BASELINE_FS8_THICKNESS_KONG200_17_DX_CN_AD_e77a35c749,AIBL_BASELINE_FS8_THICKNESS_KONG200_17_DX_CN_AD,AIBL_baseline,fs8_thickness_kong200_17,diagnosis_contrast,diagnosis_binary_ad_cn,1,30,2,1,1,0,0,35,1104,202,0
AIBL_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_4a34af60ae,AIBL_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD,AIBL_baseline,fs8_thickness_yale696,diagnosis_contrast,diagnosis_binary_ad_cn,1,40,4,1,1,0,0,47,1104,150,0
AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_MCI_3232c777c0,AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_DX_CN_MCI,AIBL_baseline,fs8_thickness_schaefer200_7,diagnosis_contrast,diagnosis_binary_mci_cn,1,8,3,1,1,0,0,14,1131,202,0
AIBL_BASELINE_FS8_THICKNESS_KONG200_17_DX_CN_MCI_1ef19f6639,AIBL_BASELINE_FS8_THICKNESS_KONG200_17_DX_CN_MCI,AIBL_baseline,fs8_thickness_kong200_17,diagnosis_contrast,diagnosis_binary_mci_cn,1,5,1,1,1,0,0,9,1131,202,0
AIBL_BASELINE_FS8_THICKNESS_YALE696_DX_CN_MCI_38174313e0,AIBL_BASELINE_FS8_THICKNESS_YALE696_DX_CN_MCI,AIBL_baseline,fs8_thickness_yale696,diagnosis_contrast,diagnosis_binary_mci_cn,1,1,1,1,1,0,0,5,1131,150,0
AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_MMSE_5279583237,AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_MMSE,AIBL_baseline,fs8_thickness_schaefer200_7,mmse_association,mmse,1,30,3,1,1,0,0,36,1291,202,0
AIBL_BASELINE_FS8_THICKNESS_KONG200_17_MMSE_76fb157454,AIBL_BASELINE_FS8_THICKNESS_KONG200_17_MMSE,AIBL_baseline,fs8_thickness_kong200_17,mmse_association,mmse,1,30,3,1,1,0,0,36,1291,202,0
AIBL_BASELINE_FS8_THICKNESS_YALE696_MMSE_31ed8a07c2,AIBL_BASELINE_FS8_THICKNESS_YALE696_MMSE,AIBL_baseline,fs8_thickness_yale696,mmse_association,mmse,1,40,5,1,1,0,0,48,1291,150,0
AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_AGE_ddfc39d5dd,AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_AGE,AIBL_baseline,fs8_thickness_schaefer200_7,age_association,age,1,30,4,1,1,0,0,37,1298,202,0
AIBL_BASELINE_FS8_THICKNESS_KONG200_17_AGE_c1734f926c,AIBL_BASELINE_FS8_THICKNESS_KONG200_17_AGE,AIBL_baseline,fs8_thickness_kong200_17,age_association,age,1,30,3,1,1,0,0,36,1298,202,0
